iter	Passed	Remaining
0	112	168174
1	232	173840
2	322	161085
3	413	154790
4	518	155035
5	634	158043
6	740	157922
7	839	156642
8	941	155988
9	1055	157249
10	1171	158566
11	1271	157612
12	1374	157174
13	1486	157795
14	1583	156783
15	1674	155341
16	1765	153982
17	1854	152654
18	1947	151824
19	2033	150486
20	2126	149737
21	2229	149809
22	2325	149321
23	2412	148361
24	2510	148145
25	2605	147687
26	2699	147264
27	2787	146516
28	2880	146116
29	2973	145686
30	3065	145275
31	3164	145165
32	3260	144948
33	3347	144344
34	3444	144192
35	3533	143705
36	3627	143423
37	3716	142997
38	3809	142720
39	3900	142386
40	3993	142099
41	4075	141473
42	4177	141537
43	4274	141431
44	4347	140566
45	4434	140155
46	4523	139842
47	4619	139724
48	4718	139715
49	4806	139383
50	4889	138930
51	4970	138420
52	5065	138309
53	5162	138228
54	5265	138343
55	5356	138134
56	5453	138052
57	5542	137804
58	5628	137480
59	5710	137063
60	5799	136805
61	5887	136545
62	5976	136310
63	6066	136120
64	6164	136102
65	6260	136025
66	6356	135957
67	6454	135917
68	6552	135885
69	6627	135385
70	6715	135153
71	6799	134863
72	6891	134710
73	6970	134331
74	7058	134117
75	7157	134100
76	7249	133979
77	7343	133878
78	7434	133726
79	7532	133709
80	7614	133388
81	7700	133160
82	7793	133047
83	7890	133005
84	7981	132874
85	8068	132667
86	8172	132725
87	8268	132673
88	8369	132684
89	8454	132452
90	8548	132356
91	8639	132223
92	8732	132107
93	8815	131859
94	8891	131505
95	8979	131318
96	9073	131231
97	9165	131124
98	9260	131050
99	9353	130951
100	9447	130861
101	9539	130749
102	9633	130664
103	9726	130562
104	9816	130419
105	9904	130254
106	10001	130212
107	10131	130587
108	10228	130529
109	10324	130460
110	10464	130944
111	10556	130830
112	10652	130754
113	10740	130585
114	10828	130413
115	10918	130269
116	11020	130266
117	11114	130166
118	11200	129977
119	11290	129843
120	11381	129708
121	11476	129630
122	11565	129475
123	11658	129374
124	11746	129212
125	11834	129050
126	11921	128888
127	12017	128815
128	12116	128773
129	12206	128639
130	12299	128530
131	12386	128371
132	12466	128128
133	12553	127969
134	12638	127793
135	12731	127693
136	12818	127525
137	12913	127451
138	13006	127350
139	13108	127335
140	13205	127278
141	13301	127208
142	13380	126971
143	13465	126803
144	13551	126632
145	13641	126514
146	13740	126466
147	13828	126322
148	13914	126160
149	14005	126048
150	14108	126039
151	14196	125904
152	14291	125823
153	14388	125757
154	14483	125682
155	14574	125566
156	14664	125443
157	14750	125282
158	14838	125145
159	14935	125088
160	15024	124958
161	15128	124948
162	15222	124858
163	15312	124743
164	15398	124586
165	15480	124406
166	15575	124326
167	15658	124145
168	15744	124000
169	15838	123914
170	15931	123822
171	16021	123700
172	16114	123603
173	16199	123448
174	16294	123375
175	16386	123272
176	16476	123151
177	16560	122997
178	16651	122888
179	16741	122770
180	16827	122626
181	16919	122526
182	17005	122381
183	17092	122248
184	17186	122162
185	17285	122116
186	17369	121954
187	17465	121888
188	17559	121800
189	17647	121674
190	17736	121554
191	17840	121538
192	17924	121387
193	18018	121301
194	18113	121223
195	18208	121143
196	18300	121043
197	18394	120956
198	18484	120848
199	18573	120729
200	18660	120600
201	18760	120547
202	18873	120582
203	18965	120486
204	19048	120330
205	19142	120244
206	19227	120101
207	19322	120022
208	19422	119975
209	19527	119956
210	19625	119893
211	19719	119807
212	19819	119751
213	19911	119654
214	20010	119597
215	20108	119532
216	20186	119348
217	20267	119185
218	20355	119067
219	20440	118924
220	20527	118801
221	20622	118716
222	20710	118599
223	20800	118487
224	20894	118402
225	20988	118317
226	21085	118244
227	21173	118128
228	21263	118017
229	21347	117875
230	21434	117751
231	21526	117655
232	21622	117576
233	21709	117454
234	21806	117381
235	21881	117194
236	21971	117090
237	22063	116994
238	22155	116893
239	22239	116756
240	22326	116634
241	22424	116569
242	22515	116469
243	22607	116370
244	22692	116239
245	22779	116117
246	22867	116003
247	22956	115895
248	23047	115795
249	23159	115795
250	23249	115692
251	23337	115577
252	23435	115509
253	23522	115388
254	23614	115295
255	23710	115218
256	23800	115114
257	23887	114994
258	23986	114930
259	24088	114883
260	24180	114788
261	24273	114699
262	24359	114575
263	24456	114502
264	24552	114425
265	24643	114323
266	24730	114203
267	24797	113993
268	24878	113851
269	24967	113739
270	25049	113602
271	25148	113536
272	25232	113409
273	25326	113320
274	25411	113196
275	25504	113107
276	25597	113016
277	25687	112915
278	25785	112845
279	25878	112756
280	25970	112663
281	26056	112541
282	26148	112448
283	26229	112304
284	26321	112211
285	26411	112109
286	26509	112042
287	26599	111940
288	26694	111860
289	26784	111756
290	26871	111641
291	26953	111507
292	27038	111384
293	27140	111332
294	27235	111250
295	27323	111140
296	27408	111017
297	27495	110906
298	27582	110792
299	27677	110708
300	27777	110648
301	27872	110566
302	27966	110481
303	28057	110382
304	28149	110289
305	28246	110216
306	28332	110099
307	28421	109993
308	28514	109905
309	28608	109819
310	28711	109769
311	28803	109674
312	28885	109545
313	28978	109453
314	29076	109381
315	29172	109302
316	29262	109202
317	29333	109030
318	29428	108948
319	29519	108852
320	29603	108731
321	29686	108606
322	29768	108474
323	29855	108366
324	29937	108233
325	30036	108167
326	30121	108051
327	30212	107952
328	30302	107853
329	30386	107734
330	30488	107677
331	30569	107544
332	30656	107435
333	30750	107349
334	30833	107228
335	30929	107148
336	31021	107057
337	31108	106946
338	31208	106881
339	31303	106800
340	31393	106700
341	31489	106620
342	31573	106504
343	31665	106412
344	31754	106309
345	31846	106217
346	31939	106127
347	32032	106037
348	32118	105927
349	32208	105828
350	32295	105718
351	32387	105626
352	32479	105534
353	32563	105417
354	32662	105347
355	32763	105284
356	32845	105159
357	32926	105032
358	33007	104907
359	33090	104787
360	33179	104684
361	33254	104540
362	33349	104456
363	33428	104327
364	33524	104246
365	33602	104113
366	33685	103994
367	33773	103890
368	33844	103735
369	33926	103613
370	34023	103536
371	34119	103460
372	34214	103376
373	34295	103253
374	34389	103167
375	34480	103073
376	34576	102997
377	34659	102876
378	34743	102763
379	34870	102775
380	34959	102677
381	35051	102585
382	35153	102523
383	35236	102406
384	35319	102287
385	35396	102154
386	35483	102050
387	35576	101960
388	35654	101830
389	35736	101710
390	35824	101609
391	35920	101530
392	35997	101398
393	36085	101296
394	36175	101198
395	36270	101116
396	36356	101011
397	36431	100873
398	36513	100754
399	36607	100671
400	36692	100561
401	36784	100472
402	36865	100351
403	36955	100255
404	37041	100148
405	37130	100052
406	37216	99944
407	37313	99869
408	37407	99783
409	37498	99691
410	37581	99577
411	37673	99486
412	37770	99411
413	37867	99333
414	37960	99245
415	38051	99154
416	38159	99105
417	38253	99019
418	38344	98928
419	38418	98790
420	38501	98676
421	38594	98588
422	38679	98481
423	38776	98403
424	38864	98304
425	38948	98193
426	39034	98088
427	39121	97986
428	39206	97880
429	39286	97760
430	39383	97681
431	39468	97575
432	39552	97465
433	39631	97344
434	39723	97254
435	39804	97138
436	39896	97047
437	39979	96936
438	40069	96842
439	40166	96765
440	40258	96675
441	40361	96610
442	40446	96505
443	40539	96417
444	40615	96290
445	40709	96205
446	40790	96091
447	40872	95976
448	40947	95848
449	41038	95755
450	41129	95665
451	41214	95559
452	41290	95432
453	41378	95334
454	41470	95245
455	41570	95173
456	41653	95063
457	41742	94968
458	41838	94888
459	41929	94797
460	42022	94711
461	42120	94633
462	42220	94562
463	42304	94455
464	42392	94356
465	42485	94269
466	42578	94183
467	42665	94083
468	42744	93965
469	42835	93872
470	42912	93750
471	42994	93641
472	43085	93548
473	43183	93472
474	43271	93374
475	43353	93264
476	43448	93182
477	43530	93071
478	43622	92982
479	43710	92885
480	43794	92779
481	43875	92665
482	43970	92583
483	44049	92468
484	44143	92382
485	44225	92272
486	44310	92168
487	44408	92093
488	44496	91995
489	44581	91891
490	44676	91809
491	44757	91698
492	44849	91609
493	44935	91508
494	45021	91407
495	45120	91332
496	45214	91248
497	45299	91145
498	45381	91036
499	45468	90936
500	45561	90850
501	45652	90758
502	45741	90664
503	45824	90557
504	45913	90462
505	46000	90364
506	46090	90272
507	46196	90209
508	46307	90158
509	46417	90103
510	46509	90015
511	46590	89905
512	46685	89820
513	46783	89744
514	46882	89668
515	46968	89567
516	47056	89471
517	47161	89407
518	47253	89318
519	47368	89270
520	47455	89172
521	47541	89071
522	47622	88962
523	47697	88841
524	47793	88760
525	47876	88653
526	47970	88567
527	48046	88448
528	48142	88368
529	48266	88337
530	48363	88256
531	48447	88153
532	48533	88053
533	48617	87948
534	48703	87848
535	48790	87749
536	48872	87643
537	48955	87537
538	49050	87453
539	49150	87379
540	49224	87258
541	49314	87163
542	49413	87087
543	49515	87016
544	49599	86913
545	49693	86827
546	49777	86724
547	49864	86626
548	49950	86526
549	50031	86418
550	50112	86309
551	50205	86221
552	50285	86112
553	50373	86016
554	50464	85926
555	50573	85866
556	50688	85816
557	50782	85730
558	50872	85637
559	50953	85528
560	51048	85445
561	51141	85357
562	51232	85266
563	51320	85169
564	51409	85075
565	51503	84989
566	51591	84893
567	51681	84801
568	51793	84744
569	51892	84666
570	51979	84569
571	52065	84469
572	52170	84401
573	52251	84294
574	52339	84198
575	52428	84104
576	52513	84002
577	52604	83911
578	52686	83806
579	52778	83718
580	52855	83604
581	52943	83508
582	53025	83403
583	53122	83322
584	53209	83225
585	53306	83142
586	53383	83030
587	53466	82927
588	53557	82837
589	53651	82750
590	53741	82658
591	53829	82562
592	53916	82465
593	53999	82362
594	54085	82264
595	54186	82188
596	54270	82087
597	54342	81967
598	54421	81858
599	54504	81756
600	54587	81654
601	54685	81573
602	54779	81488
603	54870	81397
604	54960	81304
605	55048	81210
606	55158	81148
607	55254	81064
608	55338	80962
609	55429	80871
610	55522	80784
611	55610	80690
612	55702	80600
613	55785	80498
614	55874	80404
615	55966	80315
616	56062	80231
617	56163	80155
618	56246	80053
619	56329	79951
620	56406	79840
621	56495	79747
622	56584	79654
623	56673	79560
624	56769	79477
625	56855	79379
626	56936	79275
627	57027	79184
628	57134	79116
629	57217	79014
630	57308	78923
631	57396	78829
632	57487	78738
633	57583	78654
634	57677	78568
635	57763	78471
636	57857	78384
637	57954	78302
638	58051	78220
639	58160	78152
640	58257	78070
641	58343	77972
642	58423	77868
643	58505	77764
644	58591	77667
645	58677	77571
646	58749	77454
647	58844	77369
648	58923	77263
649	59007	77163
650	59099	77074
651	59184	76976
652	59270	76879
653	59349	76773
654	59444	76687
655	59531	76591
656	59617	76496
657	59700	76394
658	59792	76305
659	59876	76206
660	59972	76121
661	60054	76020
662	60151	75937
663	60254	75862
664	60347	75775
665	60438	75684
666	60524	75586
667	60613	75494
668	60710	75411
669	60805	75326
670	60891	75229
671	60981	75137
672	61082	75059
673	61170	74965
674	61265	74880
675	61357	74790
676	61448	74700
677	61540	74611
678	61622	74509
679	61724	74431
680	61814	74340
681	61911	74257
682	62014	74181
683	62117	74105
684	62224	74033
685	62336	73967
686	62428	73878
687	62523	73792
688	62616	73704
689	62709	73615
690	62807	73533
691	62900	73444
692	62994	73356
693	63105	73289
694	63202	73205
695	63308	73131
696	63399	73041
697	63491	72951
698	63579	72857
699	63675	72771
700	63773	72688
701	63875	72610
702	63975	72530
703	64072	72446
704	64190	72385
705	64291	72305
706	64384	72216
707	64490	72141
708	64581	72050
709	64688	71977
710	64780	71886
711	64886	71812
712	64981	71725
713	65075	71637
714	65168	71548
715	65266	71465
716	65357	71374
717	65450	71284
718	65541	71192
719	65636	71105
720	65721	71008
721	65812	70917
722	65915	70838
723	66010	70751
724	66114	70674
725	66210	70588
726	66305	70501
727	66393	70406
728	66487	70317
729	66612	70263
730	66710	70178
731	66811	70097
732	66900	70003
733	67002	69923
734	67092	69830
735	67185	69741
736	67273	69647
737	67351	69541
738	67446	69454
739	67537	69362
740	67605	69248
741	67690	69150
742	67790	69067
743	67887	68982
744	67970	68883
745	68058	68788
746	68145	68692
747	68237	68601
748	68326	68509
749	68408	68408
750	68500	68318
751	68586	68221
752	68689	68142
753	68783	68053
754	68871	67959
755	68962	67868
756	69057	67780
757	69149	67690
758	69229	67587
759	69310	67486
760	69405	67398
761	69493	67305
762	69590	67219
763	69675	67122
764	69780	67044
765	69869	66950
766	69959	66858
767	70034	66751
768	70123	66658
769	70211	66564
770	70310	66480
771	70397	66385
772	70485	66290
773	70572	66195
774	70662	66103
775	70756	66015
776	70851	65927
777	70952	65845
778	71041	65752
779	71130	65659
780	71209	65556
781	71303	65467
782	71381	65364
783	71470	65271
784	71555	65174
785	71652	65088
786	71751	65004
787	71831	64903
788	71930	64819
789	72031	64737
790	72118	64641
791	72204	64546
792	72292	64452
793	72371	64350
794	72464	64261
795	72547	64162
796	72645	64077
797	72749	63998
798	72834	63901
799	72929	63813
800	73025	63726
801	73123	63641
802	73221	63555
803	73323	63473
804	73409	63378
805	73497	63284
806	73603	63206
807	73689	63110
808	73787	63024
809	73861	62919
810	73956	62831
811	74052	62743
812	74159	62666
813	74257	62580
814	74364	62503
815	74449	62406
816	74539	62313
817	74626	62219
818	74730	62138
819	74820	62046
820	74913	61956
